gene,drug_id,rho,pvalue,n_lines,fdr,name
GSTT2B,BRD-K73610817-001-10-9,0.1710873607094241,3.3978691464444763e-07,878,5.122226373239183e-07,UC-112
ELOVL1,BRD-K00076620-001-02-9,0.17110648497921416,4.609089548264144e-07,858,6.710081034136637e-07,CE-245677
SLC17A8,BRD-K00004750-001-01-9,0.17110860263056746,3.6572720202721935e-07,873,5.469526596992686e-07,PF-06873600
TNS3,BRD-K00003505-001-01-9,0.17111657000094763,3.382039808006135e-07,878,5.099021699956095e-07,nemorexant
MECOM,BRD-K00005329-074-01-9,0.17111814162461372,3.381190118584036e-07,878,5.098069508518552e-07,levamlodipine
SLC17A8,BRD-K43812936-001-01-9,0.17111901332671378,3.3807189264839757e-07,878,5.097687919340869e-07,Mps1-IN-5
SURF4,BRD-K00005342-001-01-9,0.1711203600092817,3.379991111605675e-07,878,5.096919301919339e-07,trifloxystrobin
RRAS2,BRD-K48905682-001-11-1,0.17112505027147198,3.483066777704079e-07,876,5.239170853938714e-07,madrasin
D2HGDH,BRD-K03871161-001-02-9,0.17112612013206172,3.3768797558083745e-07,878,5.093213322970659e-07,5-hydroxyectoine
SNAI2,BRD-K30421675-001-04-9,0.1711270216118755,3.646577293509619e-07,873,5.454579488250037e-07,JNJ-64619178
SLC17A4,BRD-K00003432-001-01-9,0.17113355033573802,3.6427937183093066e-07,873,5.449617537241574e-07,EDO-S101
JUN,BRD-K00003302-001-01-9,0.17113752225282003,3.640493733829201e-07,873,5.446525383885295e-07,adomeglivant
SCYL1,BRD-K00004593-001-01-9,0.17113762051204864,3.640436853425604e-07,873,5.446525383885295e-07,BW-348U87
ARL4C,BRD-K00003173-001-01-9,0.1711492080418802,3.3644363988665157e-07,878,5.075428097483264e-07,SJG-136
PPM1D,BRD-K00090630-001-01-9 - QC Failure,0.17114986573555246,4.5779329949166157e-07,858,6.668460576951769e-07,Almonertinib - QC Failure
TFAP2A,BRD-K17295893-238-03-9,0.17115451536976095,3.361582237543723e-07,878,5.072104587209289e-07,nastorazepide
TIPARP,BRD-K00005263-001-02-9,0.17115519275757127,4.5741210766912663e-07,858,6.664569403679838e-07,MIK665
SPDEF,BRD-K00003423-001-01-9,0.17115908619214323,3.628031282887548e-07,873,5.430661402821044e-07,BMS-986158
ELOVL1,BRD-K00003346-003-01-9,0.17116223901927244,3.3574328011651886e-07,878,5.066497897006249e-07,minocycline
ITGB5,BRD-K00091075-001-01-9,0.17119079122120903,4.5487258202838497e-07,858,6.632116024433819e-07,E-7386
ARL4C,BRD-K88737571-001-02-2,0.1711908910682654,3.342082913213368e-07,878,5.04528884172735e-07,CC-223
FAM120A,BRD-K45044657-001-01-4,0.1712026725450639,3.440191657960672e-07,876,5.17967914899548e-07,TC-H-106
RRAS2,BRD-K00003351-003-01-9,0.17120345645203108,3.3353725586509106e-07,878,5.035809266200845e-07,methacycline
TNS3,BRD-K54233340-001-02-2,0.17120541032123116,3.438688754718416e-07,876,5.17774987600044e-07,
ARF4,BRD-K00003240-300-01-9,0.17120694885090837,3.333509802560706e-07,878,5.03332199143671e-07,eravacycline
NFIB,BRD-K00003135-001-01-9,0.17121813129411229,3.5941173434516143e-07,873,5.386796880284157e-07,alisporivir
EZR,BRD-K00004614-001-01-9,0.17122434234003625,3.590567690959036e-07,873,5.382167013410376e-07,GSK3117391
RRAS2,BRD-A88644406-001-02-9,0.17122673540699795,3.589200939519613e-07,873,5.380463367228042e-07,avadomide
TFAP2C,BRD-K79294107-300-02-9,0.17122726779962066,3.322692064279693e-07,878,5.01796064398714e-07,PLX647
MECOM,BRD-K00003186-003-01-9,0.17122810494661056,3.322247096525957e-07,878,5.017612868497878e-07,SSR240612
ARL4C,BRD-K00003111-001-01-9,0.17124050656888903,3.315661999748658e-07,878,5.008314629233222e-07,BOS-172722
VCL,BRD-K00003154-001-01-9,0.17124195549920332,3.314893458154888e-07,878,5.007477372285163e-07,imisopasem-manganese
BCL6,BRD-K00003143-001-01-9,0.17125368269099653,3.308679435935962e-07,878,4.999059782577756e-07,BAY1217389
CRTC3,BRD-K51329597-001-02-9,0.17126192779354713,3.4078044373651005e-07,876,5.135547444070999e-07,AZM-475271
DIXDC1,BRD-K00003421-001-01-9,0.17126973367567205,3.564728605384483e-07,873,5.347207301524045e-07,GSK3326595
RRAS2,BRD-K00091090-001-01-9,0.17127017929297222,4.4925799617614915e-07,858,6.55802753521264e-07,S55746
DUSP4,BRD-K00003370-001-01-9,0.1712797560556356,3.294903841552897e-07,878,4.980822235610524e-07,cadazolid
SPDEF,BRD-K01826330-001-01-9,0.17128467565765437,3.292310826268765e-07,878,4.977868329121074e-07,etifoxine
