,antigen_presentation_loss,ifn_gamma_signaling,tgfb_exclusion,wnt_beta_catenin,immune_checkpoints,myeloid_suppression
ACH-000678,0.778591255239492,0.3011553783408069,0.2059927857697945,-0.12236181303721978,0.37275621001646037,-0.13056369143199692
ACH-000006,0.9354056909277509,0.5167609394252622,-0.039396592544460644,-0.31768885329194985,-0.1596577063411788,0.20359184049621834
ACH-002790,-0.16850910972005925,0.5250873055331204,1.0195593416319435,0.2279718722938308,-0.061096507044544744,-0.2983411689433537
ACH-002029,-0.2573213861993223,-0.017275676511552943,-0.25459826899857424,-0.3003760887461572,0.027493905885929076,-0.09605857412144146
ACH-001377,-1.4470935240202611,-0.5319316859064269,-0.15025582659010475,-0.03926218817248469,-0.42835660530538755,-0.484787018515433
ACH-000754,0.42220232851660777,0.34330653740065503,-0.5698823747302554,-0.5252221608834394,-0.029012177979522824,0.12241608439263918
ACH-000465,-0.20811759317267656,-0.12122451402907997,-0.08944129239979286,0.7902308315363797,-0.2723552966145944,-0.06360683456369859
ACH-000138,0.5451932936285917,0.42037790617996973,-0.28567268622538217,-0.19715571937166274,0.4612062973645806,0.43072918941587096
ACH-001864,0.9439892075435292,0.592214673756979,-0.2765890563450644,-0.16604927731763025,-0.02495835224101724,-0.062006604623598215
ACH-000383,0.9713911138399799,0.5469731910276362,-0.19962250749513652,0.2579131807521512,0.2808592272867154,-0.18147220444721665
ACH-001547,0.28966667139286384,0.19708116159810773,-0.008257269705019693,-0.1204714037922148,-0.15251705793522322,-0.09619991175243026
ACH-000917,-0.5001060571709615,-0.27272042842406574,0.3800889396348379,0.5082077330926493,-0.10538417907860476,-0.24494226958797763
ACH-002471,-1.0296753569535315,-0.27733409692292316,1.0373453771668424,0.23247416999007636,-0.2645719938847086,-0.23101773948276147
ACH-000984,0.6365362434120976,0.6285753913594034,0.5781381599177701,1.0769316197403895,-0.04317351680812931,-0.21773633752942886
ACH-002678,0.2519710742954412,-0.12777346604002707,-0.6634629691379861,-0.48836170076155694,-0.46192398497830656,-0.5200292580148081
ACH-001409,1.1812365077681986,0.9629987385659692,0.18607370227763242,-0.03171542017834119,0.536351927048523,0.1071662954540888
ACH-001707,0.1009419177302173,0.6778706772513083,-0.7973651505649579,-1.2034863593641536,0.9920062190952134,-0.13022060978020766
ACH-000117,-0.07093479585508548,-0.5836621548645178,0.015552466243243473,-0.1435377008928659,-0.254723932019483,-0.2779419682622314
ACH-000999,-0.1244970052996449,-0.046061778687341765,0.2121148407590879,0.8555371712425434,-0.3193170279490896,-0.03435262980072923
ACH-000633,-0.13670054010452626,-0.41798725536957715,-0.17427652490550968,-0.044316049307117286,-0.03584342550649264,-0.15204969977318092
ACH-000520,0.6937050347154501,0.020800884444161234,0.15479736753708712,0.03528955589320308,0.10284776819496429,0.27782539721331223
ACH-000176,0.7384844793361977,0.3089195265428938,0.3504678806001822,0.2175765722278574,0.22307554808905197,0.37805688107488505
ACH-000017,-0.4656732926918999,-0.5699218744494297,-0.1380956677005333,-0.06666952526226515,-0.3157482935524599,-0.15866110530636698
ACH-000020,0.7305635762278962,0.17939532504868502,0.09600492499533014,0.2296537047476323,-0.3261162979463481,-0.09293566699474816
ACH-001385,-1.368494023463995,-0.9662566886685582,-0.6240250145346068,-0.8311095034876486,0.3476981613550639,-0.34789583532003454
ACH-000587,0.39300188762416843,0.0659824454730759,0.2354581197041075,0.08748812335183027,0.04937873454028294,0.1870350120249948
ACH-000785,0.17283385267027523,0.46876454412368,-0.23392371469811826,-0.07436596078959021,-0.16746276009774205,-0.15016450035244042
ACH-003469,0.05623109295240723,0.3360509463228678,0.3801566037945255,0.0685422342775047,0.44380619521706394,0.4369474128847033
ACH-000554,-1.3318556403120614,-0.3072128240537451,-0.23542600603448247,-0.1911498558310425,-0.5295273574198353,-0.4474329153489862
ACH-003180,0.5458458416929204,0.57306288765331,1.1883012540176696,0.10205161306582826,0.31275351476972996,0.44267518708444326
ACH-001398,0.233362471241612,0.26531193473180303,-0.10797469613035994,0.04743548538252411,-0.11319957584741848,0.17725018897636283
ACH-001991,-1.2074200589530117,-0.3601190175717102,-0.7590824669465669,0.7919896053336611,-0.04325173572214405,-0.643238453241058
ACH-001332,-0.8260451069530431,-1.1512724611174312,-0.43214328570654037,-0.554700201101807,-0.209042825627293,-0.328617963636799
ACH-000585,0.5070321937953113,-0.058719672994920674,-0.12585172769092093,-0.0005757976638235407,0.1308833441892782,0.15679021418137096
ACH-000550,0.6670933723485712,0.4026256381098235,0.5488702867729175,0.4164804335576878,0.4837562431805252,0.863163287626849
ACH-000627,1.006081621848904,-0.012700070842518223,0.17614190355235163,-0.1177257947545864,0.5160627679736688,0.20869925174282114
ACH-000704,-0.23977428452018532,-0.6149137766802055,-0.4936978355020585,-0.1651936238101966,-0.4213084259533135,-0.23085273504164996
ACH-000276,0.5722606615236331,0.3408358668629807,1.2938477356640081,0.639699938847054,0.0443805154005961,-0.183630549507822
