gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
H3C3,-0.2969523029845187,-0.33525096963412737,0.03829866664960868,0.7033967851533649,0.4818085094534158,-0.37652300912522524,-0.21741603158715478,-0.40458397597966617,-0.2619552161682044,1.0,1.0,2138.0,2098.0,1.0,1.0,0.692109292081291
PDGFRA,-0.41912823240876823,-0.38374838570152914,-0.03537984670723909,-0.697238096363877,0.4856538012085594,-0.4888076607104023,-0.34920315781192107,-0.4515972221007902,-0.31124633108037747,1.0,1.0,2223.0,1830.0,1.0,1.0,0.6953679426395283
CHD7,-0.21248709312891056,-0.17214056166294608,-0.04034653146596448,-0.6925579052941886,0.48858703499432843,-0.2990271998178247,-0.1281202960836212,-0.2470203439514002,-0.09981361316637849,1.0,1.0,2278.0,2189.0,1.0,1.0,0.6961214529133973
TAS2R43,-0.16924385224266136,-0.12834574720039996,-0.04089810504226141,-0.691363595449447,0.48933707574411156,-0.246655012062925,-0.081833223006331,-0.20753089726057056,-0.05169649289884187,1.0,1.0,1967.0,2495.0,1.0,1.0,0.6961214529133973
RASGRP3,-0.36141760007294343,-0.32496872845396507,-0.03644887161897836,-0.6829738973719196,0.49462333674186354,-0.4361865706461281,-0.28523492287947816,-0.39672960400863305,-0.25321659716390826,1.0,1.0,2222.0,2313.0,1.0,1.0,0.7013790723574336
KLF4,-0.24753375379552503,-0.20874222860728456,-0.03879152518824047,-0.6764452192358112,0.4987580155268426,-0.326098220008155,-0.1661232161122046,-0.2871615682112423,-0.13008769909359108,1.0,1.0,2648.0,1749.0,1.0,1.0,0.7021999139223566
CITED2,-0.27995915009020467,-0.2418504689948104,-0.03810868109539425,-0.6759688148871901,0.49906044486060663,-0.36490330196090537,-0.2077341856143875,-0.3172663485335137,-0.16858385218874788,1.0,1.0,2168.0,2303.0,1.0,1.0,0.7021999139223566
B2M,-0.2297244584474707,-0.1907225779862609,-0.03900188046120978,-0.6745226714384719,0.4999790770331518,-0.30933620745226875,-0.14677878834095215,-0.26551988460396925,-0.11189674040775577,1.0,1.0,2242.0,2331.0,1.0,1.0,0.7021999139223566
CTTNBP2NL,-0.1719675614871321,-0.13268039073529792,-0.03928717075183419,-0.6648465413186887,0.5061486510846214,-0.25660739379647307,-0.08891189268548155,-0.21019221137445432,-0.04653898219032854,1.0,0.9995,2169.0,2312.0,1.0,1.0,0.7086081115184699
E2F3,-0.3050567679816111,-0.34037108516854825,0.03531431718693717,0.6516270352193964,0.5146418028122903,-0.3745068630539532,-0.21985546728911243,-0.41235456962335787,-0.2660939315579387,1.0,1.0,2422.0,2131.0,1.0,1.0,0.7175971638695089
COPG1,-0.2224105166559606,-0.18472966021452866,-0.03768085644143193,-0.6497962962710951,0.5158238116703726,-0.2976425530471029,-0.13992048697676956,-0.2620770978786408,-0.10458032669581435,1.0,1.0,2392.0,2133.0,1.0,1.0,0.7175971638695089
CEBPB,-0.23107348962872654,-0.2674824812967482,0.03640899166802164,0.6417230855899562,0.5210529971817325,-0.3135393424281454,-0.14441196098535047,-0.3435519791993493,-0.18290013193047022,1.0,1.0,2286.0,2708.0,1.0,1.0,0.7225923640161761
LPAR1,-0.3348506326261076,-0.3687286840172148,0.03387805139110722,0.6391165686063112,0.5227471021244934,-0.41511209004014304,-0.2612198653516997,-0.43758511221485485,-0.29811789730147575,1.0,1.0,2134.0,2229.0,1.0,1.0,0.7226691913382495
AEN,-0.12724898484851344,-0.1649337494505771,0.03768476460206366,0.6365093592521496,0.5244444827040848,-0.21309053628392732,-0.04823483547392282,-0.24779922284524186,-0.0908771241827473,0.998,1.0,1892.0,2405.0,1.0,1.0,0.7227500527265669
EYA1,-0.1697894871853147,-0.13289910604417132,-0.036890381141143375,-0.6240854550762837,0.5325714654868724,-0.24732038296843983,-0.08383033325915012,-0.21113963990488815,-0.05218569290773806,1.0,0.999,2237.0,2290.0,1.0,1.0,0.7316636021174788
IFNE,-0.2301205621748139,-0.1953079189290919,-0.034812643245721975,-0.6027168151785453,0.5466970933406904,-0.3181639840380448,-0.15626570950475505,-0.2646601355569445,-0.11732602414159365,1.0,1.0,2320.0,2153.0,1.0,1.0,0.7487373234883369
CHD1,-0.1687288935431577,-0.13325979284950318,-0.035469100693654526,-0.5999704723024347,0.5485259143850565,-0.25889813191221306,-0.08612684418505134,-0.21140852851703423,-0.05207879454935943,1.0,1.0,2538.0,2359.0,1.0,1.0,0.7489161865133434
SMAD6,-0.20346333357754395,-0.1691854308935703,-0.034277902683973654,-0.5869787853880651,0.5572179547728687,-0.28935615021185773,-0.12356877465714144,-0.24265682728743704,-0.08818769588631875,1.0,1.0,1685.0,1948.0,1.0,1.0,0.7568535354235315
H2AZ1,-0.1828628995833117,-0.21667603278255465,0.03381313319924295,0.5821505176529818,0.5604653001267874,-0.2706592382617102,-0.0989721300055717,-0.30033913519114946,-0.13971880891091604,1.0,1.0,2497.0,2280.0,1.0,1.0,0.7568535354235315
KCTD8,-0.15688629119134956,-0.1910018289203139,0.034115537728964335,0.5815094115945812,0.5608971769789285,-0.23735883007892955,-0.0710983626486692,-0.2636858450558615,-0.10426312678649635,1.0,1.0,2268.0,2252.0,1.0,1.0,0.7568535354235315
ACTG1,-0.2568699835227382,-0.22391413276499458,-0.03295585075774363,-0.5781606620333329,0.5631556547034109,-0.3322805232590436,-0.17625549676887475,-0.3033953907618607,-0.15150855853628475,1.0,1.0,2483.0,2088.0,1.0,1.0,0.7568535354235315
EZR,-0.2505774811824284,-0.2829447614976841,0.03236728031525571,0.5760124389449552,0.5646067738814438,-0.3348518826711841,-0.1721651668083699,-0.3502616979913355,-0.2047340199534775,1.0,1.0,2071.0,1813.0,1.0,1.0,0.7568535354235315
IGF1R,-0.23645549890963474,-0.2690737310006792,0.032618232091044475,0.5759680691430318,0.5646367645223171,-0.31552609790259595,-0.15124961579913965,-0.3484772568334477,-0.19900879433396312,1.0,1.0,2214.0,1897.0,1.0,1.0,0.7568535354235315
ZNF814,-0.1649701802949924,-0.1984397082769649,0.033469527981972474,0.5721248226386632,0.5672374135163285,-0.2500527822052066,-0.08076715749675417,-0.2784760690992312,-0.12362455654689425,1.0,1.0,2534.0,2285.0,1.0,1.0,0.7580354526081844
TGIF1,-0.28431773772843016,-0.3150734760721581,0.030755738343727912,0.5585507608674503,0.5764683523921097,-0.3600188863764393,-0.20006203128087385,-0.38704368070804523,-0.23813615515147518,1.0,1.0,2034.0,2395.0,1.0,1.0,0.7680439377792156
PSIP1,-0.20879579432276968,-0.17669875732401286,-0.03209703699875682,-0.5510160135200497,0.5816226971820393,-0.29207267318227115,-0.12281549584358625,-0.25084035897585727,-0.09346529914863133,1.0,1.0,2206.0,2446.0,1.0,1.0,0.772577136919516
PIM1,-0.2625359187244146,-0.29273484451925363,0.030198925794839016,0.540864328895444,0.5886010992640058,-0.3459708978927931,-0.18460859407839436,-0.36670479723587657,-0.2226728182104591,1.0,1.0,2265.0,2046.0,1.0,1.0,0.7787305975300792
HOXB9,-0.11743311898743608,-0.14946985118032444,0.032036732192888356,0.5391448765434574,0.5897868924604228,-0.2026397463043726,-0.033524272963870005,-0.23036515864042073,-0.07445150685154989,0.996,0.9995,2228.0,2177.0,1.0,1.0,0.7787305975300792
KCNK5,-0.27813882586903294,-0.30757221653702527,0.029433390667992332,0.5321595255929273,0.5946155128451192,-0.35520960776792204,-0.19351655797120365,-0.3772023605806348,-0.23473582225279305,1.0,1.0,2454.0,2010.0,1.0,1.0,0.7827625109393956
THYN1,-0.1716387807236196,-0.20186021955104205,0.030221438827422453,0.5175871297553668,0.6047463633607926,-0.26193686795271814,-0.09091294447179643,-0.27832090906949375,-0.1290947165868832,1.0,1.0,2119.0,2319.0,1.0,1.0,0.7888701023322418
RPL17,-0.19214172847911618,-0.22206646727500717,0.029924738795891,0.5167993163873,0.6052962573059619,-0.27423869344494006,-0.10616983481441444,-0.2928146645193554,-0.14526640540268287,1.0,1.0,2093.0,2134.0,1.0,1.0,0.7888701023322418
EGFR,-0.3606891887999105,-0.33325920454870606,-0.027429984251204464,-0.5154616716956035,0.6062304464270615,-0.43254810748113787,-0.28138691350895817,-0.4088312398279657,-0.2631244720060959,1.0,1.0,2433.0,1944.0,1.0,1.0,0.7888701023322418
TUBB4B,-0.21911377732336831,-0.18924387761203595,-0.02986989971133236,-0.5152041766033011,0.6064103507724035,-0.2958378422898398,-0.13468144762907913,-0.26226282871330175,-0.10563607671249192,1.0,1.0,2073.0,2411.0,1.0,1.0,0.7888701023322418
ACTR3,-0.11697460874605592,-0.14732417986859941,0.030349571122543495,0.510566970972056,0.6096543085847279,-0.20206374654692816,-0.031849675809444644,-0.21985120690953108,-0.06462970424150122,0.9955,0.9985,2313.0,2477.0,1.0,1.0,0.7906693084048633
ADPRS,-0.13571548240745118,-0.16565766010164326,0.02994217769419208,0.5064156998401532,0.6125648554218532,-0.21767374421353963,-0.05065438487404572,-0.24598950380552193,-0.08800908672123559,0.999,1.0,2461.0,2752.0,1.0,1.0,0.7906693084048633
CCND2,-0.5919722175933587,-0.5717460402841874,-0.02022617730917131,-0.5054801902179866,0.6132216086802392,-0.64436145369936,-0.534305184462849,-0.6303313951548015,-0.51793966709449,1.0,1.0,1845.0,1823.0,1.0,1.0,0.7906693084048633
KCNMA1,-0.18863594526884905,-0.15919107714537212,-0.029444868123476936,-0.5018765617429682,0.6157543532828502,-0.2708516957205997,-0.10313933811230158,-0.23366966926268246,-0.0749308214827582,1.0,1.0,2258.0,2357.0,1.0,1.0,0.7906693084048633
TAS2R4,-0.14507227787310917,-0.11535276853452345,-0.02971950933858572,-0.49970725766671265,0.6172812213858787,-0.2286883451931898,-0.052656832458385094,-0.19719731894058268,-0.032031875338429716,0.999,0.9985,2498.0,2286.0,1.0,1.0,0.7906693084048633
KRT19,-0.15898316531105938,-0.18819845631759213,0.02921529100653275,0.497905260293615,0.6185508195004032,-0.2399101226134981,-0.07075891941138224,-0.2617624880766228,-0.105951195756536,0.9995,1.0,2230.0,2439.0,1.0,1.0,0.7906693084048633
ARID5B,-0.1846107028920101,-0.21309238936265174,0.028481686470641643,0.4901572416178186,0.6240226350625595,-0.2682409219040165,-0.10178124640891933,-0.2854876687770709,-0.12441777365053547,1.0,1.0,2382.0,2333.0,1.0,1.0,0.7953583296606611
RBPJ,-0.19579654209455857,-0.16803553892817558,-0.027761003166382997,-0.4745652935288593,0.6350968487146089,-0.28127552082030793,-0.11138274813749321,-0.24343601657713787,-0.08304646476090077,1.0,1.0,2153.0,2499.0,1.0,1.0,0.8022490541317451
CENATAC,-0.14556946404007642,-0.1734547170572711,0.02788525301719469,0.47294676177043704,0.6362511619805018,-0.22513490577342554,-0.05815218907495984,-0.24908102120818437,-0.09666908020601322,0.9995,1.0,2479.0,2067.0,1.0,1.0,0.8022490541317451
STK11,-0.1599946709896501,-0.1320305658901245,-0.0279641050995256,-0.472284873817771,0.6367234656108413,-0.24179571970642838,-0.07343674272234374,-0.21261401108344158,-0.053650305004064425,1.0,0.9995,2243.0,2359.0,1.0,1.0,0.8022490541317451
RPL26,-0.15597110283412818,-0.12809349374895931,-0.02787760908516887,-0.47027272808348547,0.63816017929855,-0.24370450441686686,-0.0787828289119401,-0.21131834623268264,-0.05224682618523241,1.0,0.9985,2541.0,2227.0,1.0,1.0,0.8022490541317451
RGS4,-0.1498673253626311,-0.12197166393266809,-0.027895661429962998,-0.4697624323941493,0.6385247573701645,-0.22986160677617629,-0.0562599426851626,-0.20719862409244522,-0.04630201176744975,1.0,0.9995,2298.0,2161.0,1.0,1.0,0.8022490541317451
PPP1R15B,-0.1146004729070556,-0.14206319125206868,0.02746271834501307,0.46152755284145836,0.644420158291827,-0.1976089986536591,-0.030955675556595563,-0.22722359593278313,-0.06348558419897282,0.996,1.0,2158.0,1898.0,1.0,1.0,0.8067253010324277
CTNNB1,-0.23665975164917158,-0.2106912482085136,-0.025968503440657986,-0.4518361713971248,0.6513870095626133,-0.3184346776280477,-0.14933385730442628,-0.2964078773597581,-0.1415771655873766,1.0,1.0,2336.0,2216.0,1.0,1.0,0.8067253010324277
FGD1,-0.19125681867517927,-0.16479097806030749,-0.026465840614871783,-0.45176703091894815,0.6514368230936318,-0.2691579763918346,-0.10320641574935291,-0.23983446506477707,-0.08300920178768845,1.0,1.0,2466.0,2382.0,1.0,1.0,0.8067253010324277
NSD1,-0.14057267171343277,-0.16716454321168914,0.02659187149825637,0.45019018059165994,0.6525733159823379,-0.22834091878631413,-0.06115676086274874,-0.2439250106411764,-0.08679672146496659,0.9995,1.0,2264.0,2622.0,1.0,1.0,0.8067253010324277
E2F2,-0.2030694610197674,-0.22902682210756978,0.02595736108780239,0.45005282410069447,0.652672352003422,-0.2860945268032302,-0.11661475779849889,-0.30578852898922154,-0.15038478838321234,1.0,1.0,2494.0,2352.0,1.0,1.0,0.8067253010324277
XYLT2,-0.1911611087331133,-0.16482714832586923,-0.02633396040724406,-0.4495106336686372,0.6530633389310129,-0.2723343484426808,-0.10689860428206499,-0.24926899984432316,-0.09106738525890123,1.0,1.0,2576.0,2593.0,1.0,1.0,0.8067253010324277
UQCR11,-0.14639210659820198,-0.1723128802939179,0.02592077369571591,0.4396009342341984,0.6602261639586939,-0.23150233902526707,-0.0660166339745567,-0.2472960605673346,-0.09398572280939549,1.0,1.0,2474.0,2001.0,1.0,1.0,0.8117381259100621
MSN,-0.18050450266302862,-0.15470227319080596,-0.02580222947222266,-0.4388052000926467,0.6608026920673749,-0.2627041030032291,-0.08874666624224203,-0.23646582315811987,-0.07458685405984689,1.0,0.9995,2117.0,2835.0,1.0,1.0,0.8117381259100621
SINHCAF,-0.26875604911595796,-0.24416293864650082,-0.02459311046945714,-0.4351138329878676,0.6634798031449787,-0.342293693337782,-0.18547251052375197,-0.3229478226271039,-0.16737585699749213,1.0,1.0,2101.0,2383.0,1.0,1.0,0.8127627588525989
GSTO2,-0.19740731348753715,-0.22183240100205226,0.02442508751451511,0.42227022629835187,0.6728277876841214,-0.27444651050065283,-0.10929776497287597,-0.29401772483499405,-0.14606722835640107,1.0,1.0,2310.0,2184.0,1.0,1.0,0.8219308985282481
NBEA,-0.1282270226708,-0.15292585390206623,0.024698831231266233,0.416467978572482,0.6770675942658573,-0.21261903542031346,-0.04248814398897438,-0.23271421705976514,-0.07279986481094797,0.9985,1.0,2188.0,2510.0,1.0,1.0,0.8232740195688082
DUSP10,-0.3523128903153348,-0.3301304130058783,-0.022182477309456494,-0.41496692131359286,0.6781661186054232,-0.4337754440530588,-0.2775556938507218,-0.40418137799733533,-0.2639228455344979,1.0,1.0,1978.0,2184.0,1.0,1.0,0.8232740195688082
TBX2,-0.35253625734432537,-0.33072375327358405,-0.021812504070741312,-0.40817373695772285,0.6831461280686316,-0.4212561932988437,-0.27280397316746946,-0.40086686833953017,-0.2524072699809097,1.0,1.0,1841.0,2183.0,1.0,1.0,0.8232740195688082
BAMBI,-0.29277384430489656,-0.2700697369073426,-0.022704107397553963,-0.4075473193039898,0.6836060472841601,-0.36752977438483536,-0.21344887049068406,-0.3416162175842334,-0.18950736905911286,1.0,1.0,1948.0,2159.0,1.0,1.0,0.8232740195688082
PHF23,-0.24002983799362346,-0.2166992023966856,-0.02333063559693785,-0.4068412697416091,0.6841245734391598,-0.315601856216055,-0.1586496926868195,-0.3003552386834385,-0.1397380728157271,1.0,1.0,2181.0,2280.0,1.0,1.0,0.8232740195688082
LASP1,-0.241845530458726,-0.26473194363749897,0.022886413178772963,0.40421481919056745,0.6860547572633333,-0.3202557729140069,-0.1539173993236847,-0.3480049657133572,-0.19133737532820771,1.0,1.0,2096.0,2408.0,1.0,1.0,0.8232740195688082
TEAD4,-0.19609824206305815,-0.17273013547414298,-0.023368106588915166,-0.39983989656913543,0.6892744431807869,-0.2815496405746574,-0.11167881809823083,-0.25636791176519397,-0.09802614671950444,1.0,1.0,2157.0,2341.0,1.0,1.0,0.8232740195688082
ING5,-0.2033065982007726,-0.18004429778514464,-0.023262300415627962,-0.3991580167766223,0.6897767757093429,-0.28922079635289005,-0.12341113488641042,-0.2551213773564021,-0.10015583998313016,1.0,1.0,1685.0,2351.0,1.0,1.0,0.8232740195688082
IRX5,-0.19918738553903353,-0.22219023385796435,0.02300284831893082,0.39786626359952737,0.6907287692527415,-0.2761633343071051,-0.1085994563517727,-0.292938498949906,-0.1453710221049762,1.0,1.0,2121.0,2134.0,1.0,1.0,0.8232740195688082
BTG3,-0.21916546728661146,-0.19652940513260878,-0.022636062154002684,-0.3910347652942,0.695771538686081,-0.29588424842140726,-0.13473825904072495,-0.27647088906052814,-0.11950850413161968,1.0,1.0,2073.0,2328.0,1.0,1.0,0.8270491874947755
PLK4,-0.15718397095850342,-0.17938729700380848,0.02220332604530506,0.37768333646105484,0.7056658480975095,-0.23568122400964547,-0.06945267488926499,-0.2641604802424032,-0.10574799907171512,0.9995,1.0,2765.0,2544.0,1.0,1.0,0.8365554812123701
KRT18,-0.1716270604495438,-0.19293137869908453,0.021304318249540738,0.36422889919707147,0.7156870885112481,-0.26163090886789053,-0.09062056872859192,-0.2692962731819671,-0.11634679045169971,1.0,1.0,2657.0,2659.0,1.0,1.0,0.8443392770153402
IGFBPL1,-0.1085475024430087,-0.12972853587292635,0.021181033429917645,0.355128537908361,0.7224932980814369,-0.1882756690215847,-0.024076256649898597,-0.20710606044045998,-0.04946894208396563,0.994,1.0,2325.0,2016.0,1.0,1.0,0.8443392770153402
EVA1A,-0.30297001503079335,-0.2834587524998493,-0.01951126253094404,-0.3528258635720844,0.7242189928385558,-0.37836998413647777,-0.22353573766252127,-0.3538184699541614,-0.20831998495661047,1.0,1.0,1972.0,1944.0,1.0,1.0,0.8443392770153402
KLF5,-0.5953147511443753,-0.6089174933265751,0.013602742182199812,0.35271429860356823,0.7243026387358664,-0.6495194296016591,-0.5400619488070628,-0.6569808706370823,-0.5578989365388829,1.0,1.0,1713.0,1520.0,1.0,1.0,0.8443392770153402
ARHGAP29,-0.3869425937797195,-0.36876135958976686,-0.018181234189952655,-0.35056039542445844,0.7259181729656716,-0.45603150293979233,-0.31421535224846314,-0.43647704975801155,-0.2979386104597803,1.0,1.0,1963.0,2079.0,1.0,1.0,0.8443392770153402
SOCS3,-0.2732585663661883,-0.29265523238948454,0.01939666602329626,0.3484995637425594,0.7274650413950687,-0.3506922055052524,-0.18817746476847796,-0.36663393454702803,-0.22259655412190377,1.0,1.0,2197.0,2047.0,1.0,1.0,0.8443392770153402
SEMA3A,-0.13660191450960874,-0.1570609499597202,0.020459035450111462,0.3456050592969927,0.7296395432525125,-0.2236726873465184,-0.052632206981778895,-0.23622802572988372,-0.08007807947190848,0.999,1.0,2685.0,2432.0,1.0,1.0,0.8443392770153402
ME2,-0.23007483937348228,-0.24975567404951396,0.019680834676031683,0.34516005252440723,0.7299740488410171,-0.3096771762562724,-0.1471192954783045,-0.32378674842407995,-0.17139467534891567,1.0,1.0,2242.0,2316.0,1.0,1.0,0.8443392770153402
ETS2,-0.1967016122301933,-0.1765598017139762,-0.020141810516217107,-0.34492532593137915,0.7301505103581828,-0.2758903522686398,-0.10970295072691977,-0.2508202707895384,-0.09344374698005259,1.0,1.0,2309.0,2444.0,1.0,1.0,0.8443392770153402
H3C8,-0.1594312353125635,-0.17953722867862637,0.020105993366062863,0.34214693270619534,0.7322403192273879,-0.2403214010876471,-0.0711730819416041,-0.26161996448108793,-0.1059641363479078,0.9995,1.0,2277.0,2454.0,1.0,1.0,0.8443392770153402
CDKN2A,-0.16445170482242413,-0.1844403832495697,0.01998867842714558,0.3407492113905401,0.7332923879747739,-0.2528832760726893,-0.08459142363122835,-0.26184064813589686,-0.10429895735178607,1.0,1.0,2721.0,2135.0,1.0,1.0,0.8443392770153402
ANAPC10,-0.16615398236874548,-0.18591363705715744,0.019759654688411954,0.33703819750659225,0.7360881055007145,-0.2447821334617699,-0.07812621458349639,-0.2620813652956204,-0.11148411614951753,1.0,1.0,2382.0,2533.0,1.0,1.0,0.8453511836609768
RNF217,-0.2911126239138103,-0.3090447117659929,0.017932087852182588,0.32571845901993135,0.7446373769356722,-0.37022310902241756,-0.2135083698594173,-0.3812189565564346,-0.2355971161639434,1.0,1.0,2211.0,2066.0,1.0,1.0,0.8482026739375029
VIM,-0.1519761181903425,-0.1328745604596968,-0.019101557730645702,-0.32225238217805036,0.7472615039747331,-0.24000356669988993,-0.07201368385974183,-0.21233733728470794,-0.05000106342994698,1.0,1.0,2375.0,1842.0,1.0,1.0,0.8482026739375029
