gene,E1_edd_rho,E1_n_lineages,E2_delta_rho,E2_fdr,E3_best_rho,E3_n_progs,E4_prism_rho,E4_n_drugs,E4_best_drug,E5_cox_p,E5_n_cancers,E5_hr,composite_score,n_evidence
CCND2,-0.6087115906840329,3.0,,,0.0865562947876636,1.0,-0.161605683586014,3.0,API-1,9.91150116653778e-05,1.0,0.7660105349181441,0.4744524071155654,6
VCL,-0.3316286388670338,1.0,-0.2268918094228827,0.0059285001284589,-0.3954666151201729,6.0,-0.398618877083938,185.0,MK-0429,0.0002234199786044,1.0,1.3104394331529847,0.47303893405840725,7
AFF2,-0.4006678068126257,1.0,,,,,-0.2105344738149336,56.0,ruboxistaurin,0.001884732876285,3.0,0.898446780560176,0.47289273504799667,5
TP63,-0.7143076263139468,2.0,,,0.1306424166596856,2.0,-0.2136192784552345,14.0,K-Ras(G12C)-inhibitor-12,0.0047789992705884,1.0,0.8285158343704715,0.46927107059750556,6
SURF4,-0.4574068632252588,1.0,,,-0.1455603406246488,3.0,-0.2777478702028008,163.0,VLX1570,0.0029167879089819,1.0,1.2850762917615033,0.46382293372403693,6
BMI1,-0.3732600732600732,1.0,,,,,-0.1588736874056379,12.0,tradipitant,3.582629075781292e-06,1.0,0.7511215329500854,0.4615655126137329,5
CDH11,-0.4619612538366776,1.0,,,-0.1339578636029124,1.0,-0.2146909748200856,56.0,MK-0429,0.0002054985523181,1.0,1.331937569606242,0.45817071118717245,6
HOXC8,-0.5611596188793292,1.0,,,,,-0.2201443426343944,60.0,cinobufotalin,0.0048349900039165,1.0,1.2498946743601438,0.4560975096752482,5
KLHL9,-0.4822545313149708,1.0,,,-0.125747926127598,2.0,-0.1648216342969796,2.0,KPT-9274,1.8110949857394434e-09,1.0,0.6836460969530883,0.45448419025457293,6
MEF2C,-0.6684026118808728,1.0,,,0.0888509465980852,1.0,-0.2433583107462465,30.0,AP-18,0.0004700879993037,1.0,0.7903286395528617,0.45406577168055884,6
EBF1,-0.7278223713653252,1.0,-0.2898538967584366,0.0008264483761733,0.1735416290041742,3.0,-0.233596346324121,72.0,CEP-40783,0.0029860103441571,1.0,1.2452759875200912,0.452126461547301,7
YAP1,-0.3739205860997009,1.0,,,-0.1325494771581618,4.0,-0.3078183806939005,258.0,MK-0429,0.0010903142217813,1.0,0.8099520306320263,0.4507593864271555,6
CDK6,-0.6747257818476382,4.0,,,-0.1388013286862319,2.0,-0.1659791976808038,1.0,FRAX486,0.0003888196569985,1.0,1.3185842538293744,0.44813411607425013,6
SMIM19,-0.3213531405297837,1.0,,,,,-0.1969628269127092,28.0,GSK2245035,7.79305660871276e-06,1.0,0.7402901807380594,0.44692151660284907,5
ZEB2,-0.7021080368906456,3.0,-0.2446305615419557,6.712294998917662e-05,-0.1598186359175234,2.0,-0.2664116059944777,61.0,pitavastatin,0.0035223674689724,1.0,1.208139871641883,0.4468783076583124,7
IRF8,-0.4142656924154808,1.0,,,,,-0.1929911643406587,18.0,parethoxycaine,8.846251094890143e-05,1.0,0.7776797168433103,0.4468665226152514,5
MARK3,-0.3232841110078092,1.0,,,-0.3144894783128072,6.0,-0.1510261838269437,1.0,JD-5037,,,,0.4448047995592273,4
RASGRP3,-0.4854631024582238,1.0,,,,,0.1547571717077647,3.0,AMG-397,2.966040027483425e-06,1.0,0.720667963945425,0.4428041495836463,5
RAPGEF2,-0.3355738675283433,1.0,,,-0.3098795445289237,6.0,-0.1500362516037287,7.0,MK-0429,3.6986541462388796e-09,2.0,0.9838954055139622,0.4426635481176871,6
ELAVL2,-0.4132688741419005,1.0,,,,,-0.1517054550979119,13.0,thymopentin,2.9015663618429504e-06,1.0,0.720678851529904,0.4419234249762992,5
TNFRSF12A,-0.3738562614948392,1.0,,,-0.1875589171344566,4.0,-0.3467943357835878,353.0,MK-0429,0.0028876347995551,1.0,1.211644656189807,0.4396180380279321,6
SWT1,-0.5153032458879847,1.0,,,-0.0866512543461055,1.0,-0.201197037536921,13.0,CXD101,1.3701724278830076e-07,1.0,0.7338521953175052,0.4387478556448865,6
POU2AF1,-0.6942776601877503,1.0,-0.3016494643405264,0.0003795733698428,0.1117555158098767,2.0,-0.2170734276375861,15.0,avadomide,0.0002720454684151,3.0,0.9483749548717408,0.4348082049582286,7
D2HGDH,-0.4049041695236229,1.0,,,0.091999045092618,1.0,-0.1863740078091785,25.0,VLX1570,,,,0.43103969416776455,4
TFDP1,-0.4162722007971006,1.0,,,,,-0.1777558218839761,12.0,SIS3,5.32373980185827e-06,1.0,0.7402367875301233,0.4310303062015981,5
SYT5,-0.5417478385883933,1.0,,,0.0915977629355861,2.0,-0.1507510674019564,3.0,KPT-9274,,,,0.43039219382918215,4
BATF,-0.4876910642301127,1.0,,,0.1398778529807482,2.0,-0.191513192556942,19.0,3PO,6.09689109451572e-05,3.0,0.9369194751319804,0.429067580018304,6
INTU,,,0.2206723108456438,0.0431197908824205,0.0940583324074947,1.0,,,,0.0022283671771293,1.0,0.8022499948755325,0.42870774497218656,4
MAP10,-0.575823477054871,1.0,,,-0.0915290493799719,1.0,0.1551660686618011,5.0,RG7834,,,,0.4276294769825538,4
ILK,-0.32586695300463,1.0,,,-0.3165557049456376,6.0,-0.2989876229083258,108.0,MK-0429,0.0014821392045169,3.0,1.0923107201328353,0.42690378206785606,6
AJUBA,,,0.2209340451077474,0.029631976302887,0.1009170255021365,4.0,,,,0.0031853658971992,1.0,1.2552960762784189,0.425324706583532,4
