gene,drug_id,name,rho,pvalue,fdr,n_lines
MYB,BRD-K00068629-001-02-9,CBP/p300-IN-4,-0.3593480791165059,1.501463205299205e-27,1.4036879213701208e-25,858
FERMT2,BRD-K00076647-001-02-9,MK-0429,-0.3589846859088513,1.7086528140553423e-27,1.5847076813532326e-25,858
LIF,BRD-K00076647-001-02-9,MK-0429,-0.3577456155094787,2.651717619747189e-27,2.3564997797996687e-25,858
ITGB5,BRD-K00003404-001-01-9,CYC065,-0.357688015828363,9.610852395692372e-28,9.168360905800904e-26,873
KLF5,BRD-K00076465-001-02-9,ZD-4190,-0.355172278035539,6.565265796673395e-27,5.346459658531381e-25,858
ERBB2,BRD-K00003223-003-01-9,amiselimod,-0.355005790128366,2.5125574459734476e-27,2.249942246256376e-25,873
ALDH3A1,BRD-K00004648-001-01-9,PF-06747775,-0.352966703810031,3.707140399939013e-27,3.2090105713842446e-25,878
ERBB2,BRD-K00069020-001-02-9,Mobocertinib,-0.3526347413032508,1.5920829955504474e-26,1.232124628212088e-24,858
TCF3,BRD-K00003159-300-01-9,banoxantrone,-0.3520066880923019,5.214402834530454e-27,4.3370470835817e-25,878
CD44,BRD-K00004604-001-01-9,PRLX-93936,-0.3504932439895247,1.2395981200057116e-26,9.657295753591162e-25,873
ME2,BRD-K00003174-001-01-9,soblidotin,-0.3501501732917902,1.0052774142290682e-26,8.018888643468184e-25,878
RBM47,BRD-K00069020-001-02-9,Mobocertinib,-0.3470509512890063,1.0870800076098225e-25,7.407356833194394e-24,858
TNFRSF12A,BRD-K00076647-001-02-9,MK-0429,-0.3467943357835878,1.1863173968559097e-25,7.990377579053694e-24,858
ITGB5,BRD-K00003273-003-01-9,cbl0137,-0.345836719442288,4.542802213968205e-26,3.317949167027028e-24,878
ITGAV,BRD-K00003354-001-01-9,cinobufotalin,-0.3449729961365147,8.434401533934757e-26,5.902060857818058e-24,873
TCF3,BRD-K00003174-001-01-9,soblidotin,-0.3445753365320577,7.029946573506914e-26,5.009265588902548e-24,878
ERBB2,BRD-K00003291-001-01-9,BEBT-908,-0.3427020789666215,1.3395761749824638e-25,8.919821755467277e-24,878
KLF5,BRD-K00004573-001-01-9,RG7834,-0.3421762493987217,1.6040808631465234e-25,1.0501562446347492e-23,878
WWTR1,BRD-K00003354-001-01-9,cinobufotalin,-0.3418300114639213,2.4706293413325645e-25,1.5480844226709036e-23,873
ITGB5,BRD-K00003354-001-01-9,cinobufotalin,-0.3413882185525136,2.870712349805584e-25,1.767148205965065e-23,873
HDLBP,BRD-K00076647-001-02-9,MK-0429,-0.3412551013131054,7.666569042976246e-25,4.28667587733112e-23,858
SPINT2,BRD-K00004690-001-01-9,SKLB-1028,-0.3412495779418227,2.201799065439043e-25,1.398381732539166e-23,878
CLTB,BRD-K00003291-001-01-9,BEBT-908,-0.3410961581700416,2.320095655834886e-25,1.4615977269049318e-23,878
ARF4,BRD-K00076647-001-02-9,MK-0429,-0.3410066969341743,8.328406703064081e-25,4.6456210373272963e-23,858
HDLBP,BRD-K00003343-001-01-9,VLX1570,-0.3407347314331301,2.62421128719474e-25,1.635548432115079e-23,878
PXN,BRD-K00003404-001-01-9,CYC065,-0.3401557635477795,4.357843386570854e-25,2.583383765048033e-23,873
TNFRSF12A,BRD-K00091071-001-01-9,PF-06952229,-0.3400978094736213,1.1268387818082372e-24,6.15338224495844e-23,858
SPINT2,BRD-K00003413-001-01-9,zanubrutinib,-0.3400937813182184,4.45007227038722e-25,2.6264416440275282e-23,873
EGFR,BRD-K00003223-003-01-9,amiselimod,-0.3390095178043437,6.414193235896939e-25,3.674326576210374e-23,873
FOXA1,BRD-K00076493-001-02-9,NRC-2694,-0.3383211750840428,2.028907804760057e-24,1.072842380381268e-22,858
FADD,BRD-K00003343-001-01-9,VLX1570,-0.3383102895917239,5.970452462848447e-25,3.445467036091208e-23,878
MYB,BRD-K00003102-001-01-9,INCB-057643,-0.3380267443458987,6.5698259119419295e-25,3.745121249119678e-23,878
SPINT2,BRD-K00003501-001-01-9,lazertinib,-0.3376194728314253,7.536228107428773e-25,4.234055849202531e-23,878
RBM47,BRD-K00076493-001-02-9,NRC-2694,-0.3373672808992319,2.777830904150208e-24,1.4268893163032676e-22,858
WWTR1,BRD-K00003223-003-01-9,amiselimod,-0.3355459907197745,2.0423096297630256e-24,1.0774912114406644e-22,873
MYB,BRD-K00003099-001-01-9,PLX51107,-0.3345758786713166,2.0880610691989296e-24,1.0966778271756717e-22,878
PIM2,BRD-K00003159-300-01-9,banoxantrone,-0.333734715074051,2.7617893744469213e-24,1.42491261058661e-22,878
ME2,BRD-K00003159-300-01-9,banoxantrone,-0.333234507189046,3.2601097403297113e-24,1.649248589848182e-22,878
JUN,BRD-K00003223-003-01-9,amiselimod,-0.3324849881219518,5.614923493997363e-24,2.7170184658738377e-22,873
FOXA1,BRD-K00069020-001-02-9,Mobocertinib,-0.3324065504059322,1.3983652546755416e-23,6.237136017610069e-22,858
MYB,BRD-K00003388-001-01-9,CXD101,-0.3319118241332836,6.776989337630131e-24,3.1998342383654835e-22,873
KLF5,BRD-K00003501-001-01-9,lazertinib,-0.3309383362369837,6.953948508176444e-24,3.270174739096577e-22,878
