gene,cancer_type,n_patients,cox_hr,cox_pvalue,logrank_pvalue,cox_fdr
AJUBA,SKCM,455,1.2552960762784189,0.0031853658971992,0.0112993387672847,0.0374748929082259
ITGB3,SKCM,455,0.8270742160750616,0.0031975155994872,0.0047219612245542,0.0374952969320983
ELMO1,STAD,443,1.2669519084397407,0.0032137721229045,0.0861872758714463,0.0375590944814996
RBM47,SKCM,455,0.8202284123055321,0.0032364839008688,0.0004498401625046,0.0375590944814996
MYOD1,HNSC,563,1.1952280546640894,0.0032391996617048,0.0007319090406552,0.0375590944814996
PRDM16,LUSC,542,1.211065359123228,0.0032446884399295,0.0001456373160077,0.0375590944814996
TIPARP,KIRC,603,0.7846331446358759,0.0033504496058888,0.0062768593502059,0.0386590339141016
MAFF,HNSC,563,1.2087966003201889,0.0034148388297422,0.0347108908875978,0.0392761015561414
POU2AF1,LUAD,565,0.8202625811559652,0.0034514250387101,0.0105657960669699,0.0393884347650093
CDH2,BLCA,425,1.2466291166420211,0.0034553363117118,0.0043834267402953,0.0393884347650093
KRT4,BLCA,425,1.2487049740591556,0.0034574292738174,0.1380994594052796,0.0393884347650093
CD44,KIRC,603,1.2457770830740529,0.003483692501108,0.529156923041522,0.039562438498388
ZEB2,LUSC,542,1.208139871641883,0.0035223674689724,0.0017401985266374,0.0398758581393104
KLF5,LUAD,565,1.2229254825656433,0.0036950113722585,0.0850098400256352,0.0415827364040037
EIF2D,BLCA,425,1.285236214236636,0.0036962432359114,0.1336608353625383,0.0415827364040037
POU2AF1,KIRC,603,1.232705927987379,0.0037613931114575,0.0058744615916531,0.0418354614222666
PREX1,LUSC,542,1.207415097050525,0.0037626906891774,0.1299597994784563,0.0418354614222666
ZFP36L2,KIRC,603,0.8177922389924934,0.0037680474542929,0.0032180367740686,0.0418354614222666
DLX2,UCEC,193,1.7063997895658285,0.0037705670747762,0.064034017903796,0.0418354614222666
ATP5F1A,BLCA,425,1.2479434250689685,0.0037768124895101,0.0820009123913774,0.0418354614222666
ELMO1,BLCA,425,1.2470521457815853,0.0038345708153727,0.0272114281281428,0.0422851140228683
CD63,LUSC,542,1.2020129046136534,0.0038408978570772,0.0667563771269532,0.0422851140228683
ADD1,LUSC,542,1.2159090873649554,0.0038849590870913,0.006576901338413,0.0426397948583197
PSMB5,BLCA,425,1.2595630621067544,0.0039651294796472,0.2103979331699713,0.0433874350356536
EXT1,KIRC,603,0.8319888218775024,0.0040138082900672,0.0039253195736331,0.0437869995280059
CD79A,LUAD,565,0.8188422990386465,0.0040700748070267,0.155976970161914,0.0442666746383579
AFF2,STAD,443,1.2476651169345083,0.0041096899162727,0.0043732434658597,0.0445629027065723
MAFF,LUSC,542,1.20380206008419,0.0041603487530289,0.0701503823006114,0.0449767432759882
ARHGAP45,HNSC,563,0.8413886143792473,0.0042409376799487,0.019649358942651,0.0457107055323816
AFF2,KIRC,603,0.8425095644504019,0.0043334545872763,0.0004835477991519,0.0465684672065514
NFATC2,SKCM,455,0.8226867738993425,0.004365005701192,0.0297922680045788,0.0467679182270576
CLMP,BLCA,425,1.2484137618108864,0.0043857352679326,0.039922602966155,0.0468505844645619
CDK4,SKCM,455,1.1899885962017775,0.0044542460823293,0.0005207510279859,0.0474416742496612
FERMT2,STAD,443,1.2265464319797652,0.0044787374229117,0.0302763413866496,0.0475618133406552
CDKN2A,HNSC,563,0.839321552099825,0.0044967361481145,0.0092835369272451,0.0476125003918008
AFF1,LUSC,542,1.2147498895738051,0.0045228084641015,0.0725766070940268,0.0477481245476997
HNF1B,KIRC,603,0.82424199385834,0.0045949296298254,0.0733582907278821,0.048367680313952
JAML,HNSC,563,0.838900435174772,0.0046583534159029,0.0003270404149132,0.0488923390590399
MAFK,LUSC,542,1.207745417282579,0.0046793315388953,0.0337952810821247,0.0489697486628579
SIK3,BLCA,425,1.2478749341889626,0.004755350085092,0.0725278890270874,0.0495001876381118
ESR1,KIRC,603,0.8327843196170952,0.0047575180341074,0.0008430549576032,0.0495001876381118
TP63,BLCA,425,0.8285158343704715,0.0047789992705884,0.403261442094633,0.0495430778349214
GATA3,SKCM,455,0.8260645923126488,0.004789164190709,0.0963262677423226,0.0495430778349214
HOXC8,BLCA,425,1.2498946743601438,0.0048349900039165,0.0716706373119923,0.0498534720156525
TEAD3,SKCM,455,1.228919325291119,0.0048468653348551,0.0536511165465229,0.0498534720156525
