Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
FERMT2,Head and Neck,-0.6453667866249413,-0.781127206811828,-0.4793766199097329,1.0,1.0,61,1617.0,1.0,0.0
BCL6,Lymphoid,-0.6436338761149006,-0.7531187434114748,-0.5202929137124201,1.0,1.0,91,1708.0,1.0,0.0
FOXA1,Breast,-0.6429286896957025,-0.7908895918167829,-0.4715330745234669,1.0,1.0,50,1623.0,1.0,0.0
NFIB,Breast,-0.6396203296922978,-0.7835953825465101,-0.4592532159572611,1.0,1.0,50,1683.0,1.0,0.0
CCND2,CNS/Brain,-0.6388074892910445,-0.7660416778474224,-0.4975321561990227,1.0,1.0,82,1334.0,1.0,0.0
CCND2,Ovary/Fallopian Tube,-0.6366747104860003,-0.7735490556494828,-0.4616928190373837,1.0,1.0,56,1435.0,1.0,0.0
HNF1B,Lymphoid,-0.6362031805455937,-0.746826624333071,-0.4994890861768292,1.0,1.0,91,1569.0,1.0,0.0
SNAI2,Bone,-0.6360886578807234,-0.8180205819842365,-0.4234436042621496,1.0,1.0,35,1396.0,1.0,0.0
B2M,Kidney,-0.6356279811258705,-0.8183821199012633,-0.4058107455790175,1.0,1.0,31,1424.0,1.0,0.0
CCND2,Bladder/Urinary Tract,-0.633421178990706,-0.8127807379662342,-0.3989716317118131,1.0,1.0,34,1554.0,1.0,0.0
NFIB,Ovary/Fallopian Tube,-0.6321953376003645,-0.7826475330027249,-0.4730044522521004,1.0,1.0,56,1555.0,1.0,0.0
GRHL2,Bladder/Urinary Tract,-0.6317113522055067,-0.8225212876474184,-0.4177217846179682,1.0,1.0,34,1514.0,1.0,0.0
TNFAIP3,Uterus,-0.6307112164808937,-0.8176365163071537,-0.418062404772441,1.0,1.0,34,1381.0,1.0,0.0
RXRA,Uterus,-0.627110302367002,-0.8040169315519881,-0.3938887537287882,1.0,0.9995,34,1626.0,1.0,0.0134999999999985
CCND1,Lung,-0.6256297338466389,-0.7293785545250975,-0.515820438167788,1.0,1.0,123,1411.0,1.0,0.0
ITGB3,Biliary Tract,-0.6227102300871571,-0.7989434862457989,-0.3491092470959926,1.0,0.9995,35,1540.0,1.0,0.0154285714285697
PPM1D,Skin,-0.6223171964212143,-0.771061574734772,-0.4747450750495436,1.0,1.0,73,1628.0,1.0,0.0
MYC,Lung,-0.6218617288774912,-0.7272115429133157,-0.4974029709590168,1.0,1.0,123,1371.0,1.0,0.0
BCL2L1,Lymphoid,-0.6204415154472189,-0.7438564408070893,-0.483956040079578,1.0,1.0,91,1417.0,1.0,0.0
MYC,Soft Tissue,-0.6184647409509259,-0.790888588341516,-0.4199656182703934,1.0,1.0,45,1427.0,1.0,0.0
MDM2,Skin,-0.6183910755033645,-0.7601943289517596,-0.4666404671995441,1.0,1.0,73,1417.0,1.0,0.0
NEDD9,Uterus,-0.6173126674270578,-0.8052981512430275,-0.3900137754873438,1.0,1.0,34,1502.0,1.0,0.0
