Gene,Rho_immune_hot,Rho_immune_cold,Delta_rho,HDI_low_hot,HDI_high_hot,HDI_low_cold,HDI_high_cold,P(rho<0)_hot,P(rho<0)_cold,ESS_hot,ESS_cold,Rhat_hot,Rhat_cold,Z_fisher,P_value,FDR
RAC1,-0.4449575314483689,-0.0972131428975272,-0.3477443885508416,-0.5096869398700585,-0.3655572994161357,-0.1819555704403579,-0.0179238671235481,1.0,0.988,2076.0,1822.0,1.0,1.0,-6.294975402896947,3.0744860794632123e-10,1.1298736342027306e-08
EXT1,-0.3614977160787024,-0.0424600464079037,-0.3190376696707986,-0.4362873547199706,-0.2850887841887596,-0.1196443703096001,0.0460563768650608,1.0,0.8345,2180.0,2732.0,1.0,1.0,-5.555326544825002,2.770932545797289e-08,8.728437519261462e-07
PTK2,-0.3441983959359327,-0.0265759014682623,-0.3176224944676704,-0.4213717700562522,-0.266405206977625,-0.1091042957986042,0.0539281335158412,1.0,0.749,1998.0,2572.0,1.0,1.0,-5.491581613244536,3.9835016771795766e-08,1.1711494930907951e-06
DLG5,-0.3497152045426922,-0.0450764760365861,-0.304638728506106,-0.4288537763628024,-0.2798533207699416,-0.1293860174694808,0.0290384634981704,1.0,0.8725,2274.0,2502.0,1.0,1.0,-5.289066786978586,1.2294199793733876e-07,3.3885888181478995e-06
ITSN2,-0.3400713206679228,-0.0546315396788421,-0.2854397809890806,-0.4170241399495802,-0.2665197552834206,-0.1361574237400546,0.0275908127665398,1.0,0.901,2241.0,2808.0,1.0,1.0,-4.949835521231334,7.427622620508186e-07,1.723990302970584e-05
PSMB5,-0.328203129197142,-0.0449158377880948,-0.2832872914090472,-0.4019165053430849,-0.2519108028704087,-0.1292053025715047,0.0353461257446197,1.0,0.8625,2035.0,2582.0,1.0,1.0,-4.890002983122608,1.0083444953744196e-06,2.117523440286281e-05
PKN2,-0.3278165714556549,-0.0494097637922172,-0.2784068076634376,-0.4039299414897899,-0.2468074096683428,-0.1354849098210517,0.0266256005216636,1.0,0.8725,2121.0,2851.0,1.0,1.0,-4.808403828940633,1.5214018965408918e-06,3.0497192562478783e-05
PIK3CD,-0.4732696327050344,-0.2068174810035062,-0.2664521517015281,-0.5404709350066168,-0.4063126233498617,-0.2884718130381123,-0.131578460755616,1.0,1.0,1967.0,2612.0,1.0,1.0,-5.031545702981267,4.865410889649418e-07,1.1920256679641076e-05
PPCDC,-0.268343247315288,-0.0107079061326594,-0.2576353411826285,-0.3490867201171577,-0.1897363611697163,-0.0898460845491536,0.07359584332267,1.0,0.6115,2050.0,2441.0,1.0,1.0,-4.369418169148114,1.2457801084645568e-05,0.0001894444923561
NFKB2,-0.3351508926815953,-0.0837059537932438,-0.2514449388883515,-0.4092568180932003,-0.2551249033238059,-0.1631258733798741,-0.0021723179260033,1.0,0.9775,1985.0,2563.0,1.01,1.0,-4.375171818785643,1.2133686596857925e-05,0.0001894444923561
ELMO1,-0.343973387830953,-0.0925962163123211,-0.2513771715186319,-0.423144171694581,-0.2647358185934949,-0.1716144324454618,-0.0098094866588842,1.0,0.9845,2630.0,2564.0,1.0,1.0,-4.391905997579209,1.1236128083908762e-05,0.0001835234253705
